Solution,Round,,Accuracy distributed average,Accuracy distributed variance
fedadagrad,1,0,0.01,6.666666666666671e-07
fedadagrad,2,0,0.00869,5.054444444444446e-07
fedadagrad,3,0,0.010589999999999999,1.2987777777777778e-06
fedadagrad,4,0,0.015470000000000001,1.4245555555555563e-06
fedadagrad,5,0,0.01994,2.0715555555555562e-06
fedadagrad,6,0,0.02393,1.9756666666666645e-06
fedadagrad,7,0,0.020810000000000002,7.187777777777767e-07
fedadagrad,8,0,0.0188,2.1644444444444444e-06
fedadagrad,9,0,0.023850000000000003,1.8827777777777772e-06
fedadagrad,10,0,0.02518,1.4351111111111127e-06
fedavg,1,0,0.016666666666666635,3.788888888888938e-06
fedavg,2,0,0.01716666666666665,3.6444444444444023e-06
fedavg,3,0,0.017499999999999953,3.377777777777762e-06
fedavg,4,0,0.01786111111111108,3.1824074074074674e-06
fedavg,5,0,0.01838888888888885,2.6296296296296093e-06
fedavg,6,0,0.02419444444444441,2.7046296296296433e-06
fedavg,7,0,0.03274999999999997,1.363888888888898e-06
fedavg,8,0,0.0351111111111111,1.2296296296296202e-06
fedavg,9,0,0.04099999999999999,2.9333333333333524e-06
fedavg,10,0,0.04641666666666664,3.4527777777777155e-06
qfedavg,1,0,0.01025,1.3316666666666671e-06
qfedavg,2,0,0.010409999999999999,1.5543333333333333e-06
qfedavg,3,0,0.007637755102040766,7.633157658667869e-07
qfedavg,4,0,0.007877551020408121,8.653285490019839e-07
qfedavg,5,0,0.008173469387755072,1.1473424534649213e-06
qfedavg,6,0,0.009877551020408092,1.1424086117963624e-06
qfedavg,7,0,0.012091836734693828,9.446064139941928e-07
qfedavg,8,0,0.013479591836734656,9.414666965687211e-07
qfedavg,9,0,0.01448979591836731,8.405472078941518e-07
qfedavg,10,0,0.015010204081632622,5.948643193541061e-07
